,sentence,label,NN,JJ,PRP
16,"['Nevertheless', ',', '``', 'we', 'feel', 'that', 'in', 'the', 'future', 'Fulton', 'County', 'should', 'receive', 'some', 'portion', 'of', 'these', 'available', 'funds', ""''"", ',', 'the', 'jurors', 'said', '.']",news,5,2,0
17,"['``', 'Failure', 'to', 'do', 'this', 'will', 'continue', 'to', 'place', 'a', 'disproportionate', 'burden', ""''"", 'on', 'Fulton', 'taxpayers', '.']",news,5,0,0
18,"['The', 'jury', 'also', 'commented', 'on', 'the', 'Fulton', ""ordinary's"", 'court', 'which', 'has', 'been', 'under', 'fire', 'for', 'its', 'practices', 'in', 'the', 'appointment', 'of', 'appraisers', ',', 'guardians', 'and', 'administrators', 'and', 'the', 'awarding', 'of', 'fees', 'and', 'compensation', '.']",news,12,0,0
19,"['Wards', 'protected']",news,1,0,0
20,"['The', 'jury', 'said', 'it', 'found', 'the', 'court', '``', 'has', 'incorporated', 'into', 'its', 'operating', 'procedures', 'the', 'recommendations', ""''"", 'of', 'two', 'previous', 'grand', 'juries', ',', 'the', 'Atlanta', 'Bar', 'Association', 'and', 'an', 'interim', 'citizens', 'committee', '.']",news,10,3,0
21,"['``', 'These', 'actions', 'should', 'serve', 'to', 'protect', 'in', 'fact', 'and', 'in', 'effect', 'the', ""court's"", 'wards', 'from', 'undue', 'costs', 'and', 'its', 'appointed', 'and', 'elected', 'servants', 'from', 'unmeritorious', 'criticisms', ""''"", ',', 'the', 'jury', 'said', '.']",news,9,2,0
22,"['Regarding', ""Atlanta's"", 'new', 'multi-million-dollar', 'airport', ',', 'the', 'jury', 'recommended', '``', 'that', 'when', 'the', 'new', 'management', 'takes', 'charge', 'Jan.', '1', 'the', 'airport', 'be', 'operated', 'in', 'a', 'manner', 'that', 'will', 'eliminate', 'political', 'influences', ""''"", '.']",news,9,4,0
23,"['The', 'jury', 'did', 'not', 'elaborate', ',', 'but', 'it', 'added', 'that', '``', 'there', 'should', 'be', 'periodic', 'surveillance', 'of', 'the', 'pricing', 'practices', 'of', 'the', 'concessionaires', 'for', 'the', 'purpose', 'of', 'keeping', 'the', 'prices', 'reasonable', ""''"", '.']",news,7,3,0
24,"['Ask', 'jail', 'deputies']",news,3,0,0
25,"['On', 'other', 'matters', ',', 'the', 'jury', 'recommended', 'that', ':', '(', '1', ')']",news,2,1,0
26,"['Four', 'additional', 'deputies', 'be', 'employed', 'at', 'the', 'Fulton', 'County', 'Jail', 'and', '``', 'a', 'doctor', ',', 'medical', 'intern', 'or', 'extern', 'be', 'employed', 'for', 'night', 'and', 'weekend', 'duty', 'at', 'the', 'jail', ""''"", '.']",news,10,3,0
27,"['(', '2', ')']",news,0,0,0
28,"['Fulton', 'legislators', '``', 'work', 'with', 'city', 'officials', 'to', 'pass', 'enabling', 'legislation', 'that', 'will', 'permit', 'the', 'establishment', 'of', 'a', 'fair', 'and', 'equitable', ""''"", 'pension', 'plan', 'for', 'city', 'employes', '.']",news,11,2,0
29,"['The', 'jury', 'praised', 'the', 'administration', 'and', 'operation', 'of', 'the', 'Atlanta', 'Police', 'Department', ',', 'the', 'Fulton', 'Tax', ""Commissioner's"", 'Office', ',', 'the', 'Bellwood', 'and', 'Alpharetta', 'prison', 'farms', ',', 'Grady', 'Hospital', 'and', 'the', 'Fulton', 'Health', 'Department', '.']",news,19,0,0
30,"['Mayor', 'William', 'B.', 'Hartsfield', 'filed', 'suit', 'for', 'divorce', 'from', 'his', 'wife', ',', 'Pearl', 'Williams', 'Hartsfield', ',', 'in', 'Fulton', 'Superior', 'Court', 'Friday', '.']",news,14,0,0
31,"['His', 'petition', 'charged', 'mental', 'cruelty', '.']",news,2,1,0
32,"['The', 'couple', 'was', 'married', 'Aug.', '2', ',', '1913', '.']",news,2,0,0
33,"['They', 'have', 'a', 'son', ',', 'William', 'Berry', 'Jr.', ',', 'and', 'a', 'daughter', ',', 'Mrs.', 'J.', 'M.', 'Cheshire', 'of', 'Griffin', '.']",news,10,0,0
34,"['Attorneys', 'for', 'the', 'mayor', 'said', 'that', 'an', 'amicable', 'property', 'settlement', 'has', 'been', 'agreed', 'upon', '.']",news,4,1,0
35,"['The', 'petition', 'listed', 'the', ""mayor's"", 'occupation', 'as', '``', 'attorney', ""''"", 'and', 'his', 'age', 'as', '71', '.']",news,4,1,0
36,"['It', 'listed', 'his', ""wife's"", 'age', 'as', '74', 'and', 'place', 'of', 'birth', 'as', 'Opelika', ',', 'Ala.', '.']",news,5,1,0
37,"['The', 'petition', 'said', 'that', 'the', 'couple', 'has', 'not', 'lived', 'together', 'as', 'man', 'and', 'wife', 'for', 'more', 'than', 'a', 'year', '.']",news,5,1,0
38,"['The', 'Hartsfield', 'home', 'is', 'at', '637', 'E.', 'Pelham', 'Rd.', 'Aj', '.']",news,6,0,0
39,"['Henry', 'L.', 'Bowden', 'was', 'listed', 'on', 'the', 'petition', 'as', 'the', ""mayor's"", 'attorney', '.']",news,6,0,0
40,"['Hartsfield', 'has', 'been', 'mayor', 'of', 'Atlanta', ',', 'with', 'exception', 'of', 'one', 'brief', 'interlude', ',', 'since', '1937', '.']",news,6,0,0
41,"['His', 'political', 'career', 'goes', 'back', 'to', 'his', 'election', 'to', 'city', 'council', 'in', '1923', '.']",news,4,1,0
42,"['The', ""mayor's"", 'present', 'term', 'of', 'office', 'expires', 'Jan.', '1', '.']",news,3,2,0
43,"['He', 'will', 'be', 'succeeded', 'by', 'Ivan', 'Allen', 'Jr.', ',', 'who', 'became', 'a', 'candidate', 'in', 'the', 'Sept.', '13', 'primary', 'after', 'Mayor', 'Hartsfield', 'announced', 'that', 'he', 'would', 'not', 'run', 'for', 'reelection', '.']",news,9,0,0
44,"['Georgia', 'Republicans', 'are', 'getting', 'strong', 'encouragement', 'to', 'enter', 'a', 'candidate', 'in', 'the', '1962', ""governor's"", 'race', ',', 'a', 'top', 'official', 'said', 'Wednesday', '.']",news,8,2,0
45,"['Robert', 'Snodgrass', ',', 'state', 'GOP', 'chairman', ',', 'said', 'a', 'meeting', 'held', 'Tuesday', 'night', 'in', 'Blue', 'Ridge', 'brought', 'enthusiastic', 'responses', 'from', 'the', 'audience', '.']",news,12,1,0
46,"['State', 'Party', 'Chairman', 'James', 'W.', 'Dorsey', 'added', 'that', 'enthusiasm', 'was', 'picking', 'up', 'for', 'a', 'state', 'rally', 'to', 'be', 'held', 'Sept.', '8', 'in', 'Savannah', 'at', 'which', 'newly', 'elected', 'Texas', 'Sen.', 'John', 'Tower', 'will', 'be', 'the', 'featured', 'speaker', '.']",news,16,1,0
47,"['In', 'the', 'Blue', 'Ridge', 'meeting', ',', 'the', 'audience', 'was', 'warned', 'that', 'entering', 'a', 'candidate', 'for', 'governor', 'would', 'force', 'it', 'to', 'take', 'petitions', 'out', 'into', 'voting', 'precincts', 'to', 'obtain', 'the', 'signatures', 'of', 'registered', 'voters', '.']",news,10,1,0
48,"['Despite', 'the', 'warning', ',', 'there', 'was', 'a', 'unanimous', 'vote', 'to', 'enter', 'a', 'candidate', ',', 'according', 'to', 'Republicans', 'who', 'attended', '.']",news,4,1,0
49,"['When', 'the', 'crowd', 'was', 'asked', 'whether', 'it', 'wanted', 'to', 'wait', 'one', 'more', 'term', 'to', 'make', 'the', 'race', ',', 'it', 'voted', 'no', '--', 'and', 'there', 'were', 'no', 'dissents', '.']",news,4,1,0
50,"['The', 'largest', 'hurdle', 'the', 'Republicans', 'would', 'have', 'to', 'face', 'is', 'a', 'state', 'law', 'which', 'says', 'that', 'before', 'making', 'a', 'first', 'race', ',', 'one', 'of', 'two', 'alternative', 'courses', 'must', 'be', 'taken', ':', '1']",news,7,3,0
51,"['Five', 'per', 'cent', 'of', 'the', 'voters', 'in', 'each', 'county', 'must', 'sign', 'petitions', 'requesting', 'that', 'the', 'Republicans', 'be', 'allowed', 'to', 'place', 'names', 'of', 'candidates', 'on', 'the', 'general', 'election', 'ballot', ',', 'or', '2']",news,9,1,0
52,"['The', 'Republicans', 'must', 'hold', 'a', 'primary', 'under', 'the', 'county', 'unit', 'system', '--', 'a', 'system', 'which', 'the', 'party', 'opposes', 'in', 'its', 'platform', '.']",news,7,1,0
53,"['Sam', 'Caldwell', ',', 'State', 'Highway', 'Department', 'public', 'relations', 'director', ',', 'resigned', 'Tuesday', 'to', 'work', 'for', 'Lt.', 'Gov.', 'Garland', ""Byrd's"", 'campaign', '.']",news,13,1,0
54,"[""Caldwell's"", 'resignation', 'had', 'been', 'expected', 'for', 'some', 'time', '.']",news,3,0,0
55,"['He', 'will', 'be', 'succeeded', 'by', 'Rob', 'Ledford', 'of', 'Gainesville', ',', 'who', 'has', 'been', 'an', 'assistant', 'more', 'than', 'three', 'years', '.']",news,5,1,0
56,"['When', 'the', 'gubernatorial', 'campaign', 'starts', ',', 'Caldwell', 'is', 'expected', 'to', 'become', 'a', 'campaign', 'coordinator', 'for', 'Byrd', '.']",news,5,1,0
57,"['The', 'Georgia', 'Legislature', 'will', 'wind', 'up', 'its', '1961', 'session', 'Monday', 'and', 'head', 'for', 'home', '--', 'where', 'some', 'of', 'the', 'highway', 'bond', 'money', 'it', 'approved', 'will', 'follow', 'shortly', '.']",news,9,0,0
58,"['Before', 'adjournment', 'Monday', 'afternoon', ',', 'the', 'Senate', 'is', 'expected', 'to', 'approve', 'a', 'study', 'of', 'the', 'number', 'of', 'legislators', 'allotted', 'to', 'rural', 'and', 'urban', 'areas', 'to', 'determine', 'what', 'adjustments', 'should', 'be', 'made', '.']",news,8,3,0
59,"['Gov.', 'Vandiver', 'is', 'expected', 'to', 'make', 'the', 'traditional', 'visit', 'to', 'both', 'chambers', 'as', 'they', 'work', 'toward', 'adjournment', '.']",news,5,1,0
60,"['Vandiver', 'likely', 'will', 'mention', 'the', '$100', 'million', 'highway', 'bond', 'issue', 'approved', 'earlier', 'in', 'the', 'session', 'as', 'his', 'first', 'priority', 'item', '.']",news,8,1,0
61,"['Construction', 'bonds']",news,2,0,0
62,"['Meanwhile', ',', 'it', 'was', 'learned', 'the', 'State', 'Highway', 'Department', 'is', 'very', 'near', 'being', 'ready', 'to', 'issue', 'the', 'first', '$30', 'million', 'worth', 'of', 'highway', 'reconstruction', 'bonds', '.']",news,8,2,0
63,"['The', 'bond', 'issue', 'will', 'go', 'to', 'the', 'state', 'courts', 'for', 'a', 'friendly', 'test', 'suit', 'to', 'test', 'the', 'validity', 'of', 'the', 'act', ',', 'and', 'then', 'the', 'sales', 'will', 'begin', 'and', 'contracts', 'let', 'for', 'repair', 'work', 'on', 'some', 'of', ""Georgia's"", 'most', 'heavily', 'traveled', 'highways', '.']",news,14,2,0
64,"['A', 'Highway', 'Department', 'source', 'said', 'there', 'also', 'is', 'a', 'plan', 'there', 'to', 'issue', 'some', '$3', 'million', 'to', '$4', 'million', 'worth', 'of', 'Rural', 'Roads', 'Authority', 'bonds', 'for', 'rural', 'road', 'construction', 'work', '.']",news,12,1,0
65,"['A', 'revolving', 'fund']",news,2,0,0
66,"['The', 'department', 'apparently', 'intends', 'to', 'make', 'the', 'Rural', 'Roads', 'Authority', 'a', 'revolving', 'fund', 'under', 'which', 'new', 'bonds', 'would', 'be', 'issued', 'every', 'time', 'a', 'portion', 'of', 'the', 'old', 'ones', 'are', 'paid', 'off', 'by', 'tax', 'authorities', '.']",news,11,2,0
67,"['Vandiver', 'opened', 'his', 'race', 'for', 'governor', 'in', '1958', 'with', 'a', 'battle', 'in', 'the', 'Legislature', 'against', 'the', 'issuance', 'of', '$50', 'million', 'worth', 'of', 'additional', 'rural', 'roads', 'bonds', 'proposed', 'by', 'then', 'Gov.', 'Marvin', 'Griffin', '.']",news,12,2,0
68,"['The', 'Highway', 'Department', 'source', 'told', 'The', 'Constitution', ',', 'however', ',', 'that', 'Vandiver', 'has', 'not', 'been', 'consulted', 'yet', 'about', 'the', 'plans', 'to', 'issue', 'the', 'new', 'rural', 'roads', 'bonds', '.']",news,8,2,0
69,"['Schley', 'County', 'Rep.', 'B.', 'D.', 'Pelham', 'will', 'offer', 'a', 'resolution', 'Monday', 'in', 'the', 'House', 'to', 'rescind', 'the', ""body's"", 'action', 'of', 'Friday', 'in', 'voting', 'itself', 'a', '$10', 'per', 'day', 'increase', 'in', 'expense', 'allowances', '.']",news,14,3,0
70,"['Pelham', 'said', 'Sunday', 'night', 'there', 'was', 'research', 'being', 'done', 'on', 'whether', 'the', '``', 'quickie', ""''"", 'vote', 'on', 'the', 'increase', 'can', 'be', 'repealed', 'outright', 'or', 'whether', 'notice', 'would', 'have', 'to', 'first', 'be', 'given', 'that', 'reconsideration', 'of', 'the', 'action', 'would', 'be', 'sought', '.']",news,10,1,0
71,"['While', 'emphasizing', 'that', 'technical', 'details', 'were', 'not', 'fully', 'worked', 'out', ',', 'Pelham', 'said', 'his', 'resolution', 'would', 'seek', 'to', 'set', 'aside', 'the', 'privilege', 'resolution', 'which', 'the', 'House', 'voted', 'through', '87-31', '.']",news,6,2,0
72,"['A', 'similar', 'resolution', 'passed', 'in', 'the', 'Senate', 'by', 'a', 'vote', 'of', '29-5', '.']",news,3,2,0
73,"['As', 'of', 'Sunday', 'night', ',', 'there', 'was', 'no', 'word', 'of', 'a', 'resolution', 'being', 'offered', 'there', 'to', 'rescind', 'the', 'action', '.']",news,5,0,0
74,"['Pelham', 'pointed', 'out', 'that', 'Georgia', 'voters', 'last', 'November', 'rejected', 'a', 'constitutional', 'amendment', 'to', 'allow', 'legislators', 'to', 'vote', 'on', 'pay', 'raises', 'for', 'future', 'Legislature', 'sessions', '.']",news,10,3,0
75,"['A', 'veteran', 'Jackson', 'County', 'legislator', 'will', 'ask', 'the', 'Georgia', 'House', 'Monday', 'to', 'back', 'federal', 'aid', 'to', 'education', ',', 'something', 'it', 'has', 'consistently', 'opposed', 'in', 'the', 'past', '.']",news,10,2,0
76,"['Rep.', 'Mac', 'Barber', 'of', 'Commerce', 'is', 'asking', 'the', 'House', 'in', 'a', 'privilege', 'resolution', 'to', '``', 'endorse', 'increased', 'federal', 'support', 'for', 'public', 'education', ',', 'provided', 'that', 'such', 'funds', 'be', 'received', 'and', 'expended', ""''"", 'as', 'state', 'funds', '.']",news,12,4,0
77,"['Barber', ',', 'who', 'is', 'in', 'his', '13th', 'year', 'as', 'a', 'legislator', ',', 'said', 'there', '``', 'are', 'some', 'members', 'of', 'our', 'congressional', 'delegation', 'in', 'Washington', 'who', 'would', 'like', 'to', 'see', 'it', '(', 'the', 'resolution', ')', 'passed', ""''"", '.']",news,7,1,0
78,"['But', 'he', 'added', 'that', 'none', 'of', ""Georgia's"", 'congressmen', 'specifically', 'asked', 'him', 'to', 'offer', 'the', 'resolution', '.']",news,4,0,0
79,"['The', 'resolution', ',', 'which', 'Barber', 'tossed', 'into', 'the', 'House', 'hopper', 'Friday', ',', 'will', 'be', 'formally', 'read', 'Monday', '.']",news,6,1,0
80,"['It', 'says', 'that', '``', 'in', 'the', 'event', 'Congress', 'does', 'provide', 'this', 'increase', 'in', 'federal', 'funds', ""''"", ',', 'the', 'State', 'Board', 'of', 'Education', 'should', 'be', 'directed', 'to', '``', 'give', 'priority', ""''"", 'to', 'teacher', 'pay', 'raises', '.']",news,10,1,0
81,['Colquitt'],news,1,0,0
82,"['--', 'After', 'a', 'long', ',', 'hot', 'controversy', ',', 'Miller', 'County', 'has', 'a', 'new', 'school', 'superintendent', ',', 'elected', ',', 'as', 'a', 'policeman', 'put', 'it', ',', 'in', 'the', '``', 'coolest', 'election', 'I', 'ever', 'saw', 'in', 'this', 'county', ""''"", '.']",news,8,4,0
83,"['The', 'new', 'school', 'superintendent', 'is', 'Harry', 'Davis', ',', 'a', 'veteran', 'agriculture', 'teacher', ',', 'who', 'defeated', 'Felix', 'Bush', ',', 'a', 'school', 'principal', 'and', 'chairman', 'of', 'the', 'Miller', 'County', 'Democratic', 'Executive', 'Committee', '.']",news,16,2,0
84,"['Davis', 'received', '1,119', 'votes', 'in', ""Saturday's"", 'election', ',', 'and', 'Bush', 'got', '402', '.']",news,5,0,0
85,"['Ordinary', 'Carey', 'Williams', ',', 'armed', 'with', 'a', 'pistol', ',', 'stood', 'by', 'at', 'the', 'polls', 'to', 'insure', 'order', '.']",news,5,1,0
86,"['``', 'This', 'was', 'the', 'coolest', ',', 'calmest', 'election', 'I', 'ever', 'saw', ""''"", ',', 'Colquitt', 'Policeman', 'Tom', 'Williams', 'said', '.']",news,5,2,0
87,"['``', 'Being', 'at', 'the', 'polls', 'was', 'just', 'like', 'being', 'at', 'church', '.']",news,3,0,0
88,"['I', ""didn't"", 'smell', 'a', 'drop', 'of', 'liquor', ',', 'and', 'we', ""didn't"", 'have', 'a', 'bit', 'of', 'trouble', ""''"", '.']",news,4,0,0
89,"['The', 'campaign', 'leading', 'to', 'the', 'election', 'was', 'not', 'so', 'quiet', ',', 'however', '.']",news,2,1,0
90,"['It', 'was', 'marked', 'by', 'controversy', ',', 'anonymous', 'midnight', 'phone', 'calls', 'and', 'veiled', 'threats', 'of', 'violence', '.']",news,6,1,0
91,"['The', 'former', 'county', 'school', 'superintendent', ',', 'George', 'P.', 'Callan', ',', 'shot', 'himself', 'to', 'death', 'March', '18', ',', 'four', 'days', 'after', 'he', 'resigned', 'his', 'post', 'in', 'a', 'dispute', 'with', 'the', 'county', 'school', 'board', '.']",news,14,1,0
92,"['During', 'the', 'election', 'campaign', ',', 'both', 'candidates', ',', 'Davis', 'and', 'Bush', ',', 'reportedly', 'received', 'anonymous', 'telephone', 'calls', '.']",news,7,1,0
93,"['Ordinary', 'Williams', 'said', 'he', ',', 'too', ',', 'was', 'subjected', 'to', 'anonymous', 'calls', 'soon', 'after', 'he', 'scheduled', 'the', 'election', '.']",news,3,2,0
94,"['Many', 'local', 'citizens', 'feared', 'that', 'there', 'would', 'be', 'irregularities', 'at', 'the', 'polls', ',', 'and', 'Williams', 'got', 'himself', 'a', 'permit', 'to', 'carry', 'a', 'gun', 'and', 'promised', 'an', 'orderly', 'election', '.']",news,7,3,0
95,"['Sheriff', 'Felix', 'Tabb', 'said', 'the', 'ordinary', 'apparently', 'made', 'good', 'his', 'promise', '.']",news,4,2,0
96,"['``', 'Everything', 'went', 'real', 'smooth', ""''"", ',', 'the', 'sheriff', 'said', '.']",news,3,1,0
97,"['``', 'There', ""wasn't"", 'a', 'bit', 'of', 'trouble', ""''"", '.']",news,2,0,0
98,"['Austin', ',', 'Texas']",news,2,0,0
99,"['--', 'Committee', 'approval', 'of', 'Gov.', 'Price', ""Daniel's"", '``', 'abandoned', 'property', ""''"", 'act', 'seemed', 'certain', 'Thursday', 'despite', 'the', 'adamant', 'protests', 'of', 'Texas', 'bankers', '.']",news,11,2,0
100,"['Daniel', 'personally', 'led', 'the', 'fight', 'for', 'the', 'measure', ',', 'which', 'he', 'had', 'watered', 'down', 'considerably', 'since', 'its', 'rejection', 'by', 'two', 'previous', 'Legislatures', ',', 'in', 'a', 'public', 'hearing', 'before', 'the', 'House', 'Committee', 'on', 'Revenue', 'and', 'Taxation', '.']",news,10,2,0
101,"['Under', 'committee', 'rules', ',', 'it', 'went', 'automatically', 'to', 'a', 'subcommittee', 'for', 'one', 'week', '.']",news,4,0,0
102,"['But', 'questions', 'with', 'which', 'committee', 'members', 'taunted', 'bankers', 'appearing', 'as', 'witnesses', 'left', 'little', 'doubt', 'that', 'they', 'will', 'recommend', 'passage', 'of', 'it', '.']",news,7,1,0
103,"['Daniel', 'termed', '``', 'extremely', 'conservative', ""''"", 'his', 'estimate', 'that', 'it', 'would', 'produce', '17', 'million', 'dollars', 'to', 'help', 'erase', 'an', 'anticipated', 'deficit', 'of', '63', 'million', 'dollars', 'at', 'the', 'end', 'of', 'the', 'current', 'fiscal', 'year', 'next', 'Aug.', '31', '.']",news,8,4,0
104,"['He', 'told', 'the', 'committee', 'the', 'measure', 'would', 'merely', 'provide', 'means', 'of', 'enforcing', 'the', 'escheat', 'law', 'which', 'has', 'been', 'on', 'the', 'books', '``', 'since', 'Texas', 'was', 'a', 'republic', ""''"", '.']",news,7,1,0
105,"['It', 'permits', 'the', 'state', 'to', 'take', 'over', 'bank', 'accounts', ',', 'stocks', 'and', 'other', 'personal', 'property', 'of', 'persons', 'missing', 'for', 'seven', 'years', 'or', 'more', '.']",news,7,3,0
106,"['The', 'bill', ',', 'which', 'Daniel', 'said', 'he', 'drafted', 'personally', ',', 'would', 'force', 'banks', ',', 'insurance', 'firms', ',', 'pipeline', 'companies', 'and', 'other', 'corporations', 'to', 'report', 'such', 'property', 'to', 'the', 'state', 'treasurer', '.']",news,11,2,0
107,"['The', 'escheat', 'law', 'cannot', 'be', 'enforced', 'now', 'because', 'it', 'is', 'almost', 'impossible', 'to', 'locate', 'such', 'property', ',', 'Daniel', 'declared', '.']",news,5,2,0
108,"['Dewey', 'Lawrence', ',', 'a', 'Tyler', 'lawyer', 'representing', 'the', 'Texas', 'Bankers', 'Association', ',', 'sounded', 'the', 'opposition', 'keynote', 'when', 'he', 'said', 'it', 'would', 'force', 'banks', 'to', 'violate', 'their', 'contractual', 'obligations', 'with', 'depositors', 'and', 'undermine', 'the', 'confidence', 'of', 'bank', 'customers', '.']",news,15,1,0
109,"['``', 'If', 'you', 'destroy', 'confidence', 'in', 'banks', ',', 'you', 'do', 'something', 'to', 'the', 'economy', ""''"", ',', 'he', 'said', '.']",news,4,0,0
110,"['``', 'You', 'take', 'out', 'of', 'circulation', 'many', 'millions', 'of', 'dollars', ""''"", '.']",news,3,1,0
111,"['Rep.', 'Charles', 'E.', 'Hughes', 'of', 'Sherman', ',', 'sponsor', 'of', 'the', 'bill', ',', 'said', 'a', 'failure', 'to', 'enact', 'it', 'would', 'amount', '``', 'to', 'making', 'a', 'gift', 'out', 'of', 'the', ""taxpayers'"", 'pockets', 'to', 'banks', ',', 'insurance', 'and', 'pipeline', 'companies', ""''"", '.']",news,14,1,0
112,"['His', 'contention', 'was', 'denied', 'by', 'several', 'bankers', ',', 'including', 'Scott', 'Hudson', 'of', 'Sherman', ',', 'Gaynor', 'B.', 'Jones', 'of', 'Houston', ',', 'J.', 'B.', 'Brady', 'of', 'Harlingen', 'and', 'Howard', 'Cox', 'of', 'Austin', '.']",news,16,1,0
113,"['Cox', 'argued', 'that', 'the', 'bill', 'is', '``', 'probably', 'unconstitutional', ""''"", 'since', ',', 'he', 'said', ',', 'it', 'would', 'impair', 'contracts', '.']",news,3,1,0
114,"['He', 'also', 'complained', 'that', 'not', 'enough', 'notice', 'was', 'given', 'on', 'the', 'hearing', ',', 'since', 'the', 'bill', 'was', 'introduced', 'only', 'last', 'Monday', '.']",news,4,2,0
115,"['Austin', ',', 'Texas']",news,2,0,0
116,"['--', 'Senators', 'unanimously', 'approved', 'Thursday', 'the', 'bill', 'of', 'Sen.', 'George', 'Parkhouse', 'of', 'Dallas', 'authorizing', 'establishment', 'of', 'day', 'schools', 'for', 'the', 'deaf', 'in', 'Dallas', 'and', 'the', 'four', 'other', 'largest', 'counties', '.']",news,13,2,0
117,"['The', 'bill', 'is', 'designed', 'to', 'provide', 'special', 'schooling', 'for', 'more', 'deaf', 'students', 'in', 'the', 'scholastic', 'age', 'at', 'a', 'reduced', 'cost', 'to', 'the', 'state', '.']",news,5,5,0
