,label,sentence,NN,JJ,RB
43,news,"['He', 'will', 'be', 'succeeded', 'by', 'Ivan', 'Allen', 'Jr.', ',', 'who', 'became', 'a', 'candidate', 'in', 'the', 'Sept.', '13', 'primary', 'after', 'Mayor', 'Hartsfield', 'announced', 'that', 'he', 'would', 'not', 'run', 'for', 'reelection', '.']",9,0,1
44,news,"['Georgia', 'Republicans', 'are', 'getting', 'strong', 'encouragement', 'to', 'enter', 'a', 'candidate', 'in', 'the', '1962', ""governor's"", 'race', ',', 'a', 'top', 'official', 'said', 'Wednesday', '.']",8,2,0
45,news,"['Robert', 'Snodgrass', ',', 'state', 'GOP', 'chairman', ',', 'said', 'a', 'meeting', 'held', 'Tuesday', 'night', 'in', 'Blue', 'Ridge', 'brought', 'enthusiastic', 'responses', 'from', 'the', 'audience', '.']",12,1,0
46,news,"['State', 'Party', 'Chairman', 'James', 'W.', 'Dorsey', 'added', 'that', 'enthusiasm', 'was', 'picking', 'up', 'for', 'a', 'state', 'rally', 'to', 'be', 'held', 'Sept.', '8', 'in', 'Savannah', 'at', 'which', 'newly', 'elected', 'Texas', 'Sen.', 'John', 'Tower', 'will', 'be', 'the', 'featured', 'speaker', '.']",16,1,1
47,news,"['In', 'the', 'Blue', 'Ridge', 'meeting', ',', 'the', 'audience', 'was', 'warned', 'that', 'entering', 'a', 'candidate', 'for', 'governor', 'would', 'force', 'it', 'to', 'take', 'petitions', 'out', 'into', 'voting', 'precincts', 'to', 'obtain', 'the', 'signatures', 'of', 'registered', 'voters', '.']",10,1,0
48,news,"['Despite', 'the', 'warning', ',', 'there', 'was', 'a', 'unanimous', 'vote', 'to', 'enter', 'a', 'candidate', ',', 'according', 'to', 'Republicans', 'who', 'attended', '.']",4,1,0
49,news,"['When', 'the', 'crowd', 'was', 'asked', 'whether', 'it', 'wanted', 'to', 'wait', 'one', 'more', 'term', 'to', 'make', 'the', 'race', ',', 'it', 'voted', 'no', '--', 'and', 'there', 'were', 'no', 'dissents', '.']",4,1,0
50,news,"['The', 'largest', 'hurdle', 'the', 'Republicans', 'would', 'have', 'to', 'face', 'is', 'a', 'state', 'law', 'which', 'says', 'that', 'before', 'making', 'a', 'first', 'race', ',', 'one', 'of', 'two', 'alternative', 'courses', 'must', 'be', 'taken', ':', '1']",7,3,0
51,news,"['Five', 'per', 'cent', 'of', 'the', 'voters', 'in', 'each', 'county', 'must', 'sign', 'petitions', 'requesting', 'that', 'the', 'Republicans', 'be', 'allowed', 'to', 'place', 'names', 'of', 'candidates', 'on', 'the', 'general', 'election', 'ballot', ',', 'or', '2']",9,1,0
52,news,"['The', 'Republicans', 'must', 'hold', 'a', 'primary', 'under', 'the', 'county', 'unit', 'system', '--', 'a', 'system', 'which', 'the', 'party', 'opposes', 'in', 'its', 'platform', '.']",7,1,0
53,news,"['Sam', 'Caldwell', ',', 'State', 'Highway', 'Department', 'public', 'relations', 'director', ',', 'resigned', 'Tuesday', 'to', 'work', 'for', 'Lt.', 'Gov.', 'Garland', ""Byrd's"", 'campaign', '.']",13,1,0
54,news,"[""Caldwell's"", 'resignation', 'had', 'been', 'expected', 'for', 'some', 'time', '.']",3,0,0
55,news,"['He', 'will', 'be', 'succeeded', 'by', 'Rob', 'Ledford', 'of', 'Gainesville', ',', 'who', 'has', 'been', 'an', 'assistant', 'more', 'than', 'three', 'years', '.']",5,1,0
56,news,"['When', 'the', 'gubernatorial', 'campaign', 'starts', ',', 'Caldwell', 'is', 'expected', 'to', 'become', 'a', 'campaign', 'coordinator', 'for', 'Byrd', '.']",5,1,0
57,news,"['The', 'Georgia', 'Legislature', 'will', 'wind', 'up', 'its', '1961', 'session', 'Monday', 'and', 'head', 'for', 'home', '--', 'where', 'some', 'of', 'the', 'highway', 'bond', 'money', 'it', 'approved', 'will', 'follow', 'shortly', '.']",9,0,1
58,news,"['Before', 'adjournment', 'Monday', 'afternoon', ',', 'the', 'Senate', 'is', 'expected', 'to', 'approve', 'a', 'study', 'of', 'the', 'number', 'of', 'legislators', 'allotted', 'to', 'rural', 'and', 'urban', 'areas', 'to', 'determine', 'what', 'adjustments', 'should', 'be', 'made', '.']",8,3,0
59,news,"['Gov.', 'Vandiver', 'is', 'expected', 'to', 'make', 'the', 'traditional', 'visit', 'to', 'both', 'chambers', 'as', 'they', 'work', 'toward', 'adjournment', '.']",5,1,0
60,news,"['Vandiver', 'likely', 'will', 'mention', 'the', '$100', 'million', 'highway', 'bond', 'issue', 'approved', 'earlier', 'in', 'the', 'session', 'as', 'his', 'first', 'priority', 'item', '.']",8,1,2
61,news,"['Construction', 'bonds']",2,0,0
62,news,"['Meanwhile', ',', 'it', 'was', 'learned', 'the', 'State', 'Highway', 'Department', 'is', 'very', 'near', 'being', 'ready', 'to', 'issue', 'the', 'first', '$30', 'million', 'worth', 'of', 'highway', 'reconstruction', 'bonds', '.']",8,2,2
63,news,"['The', 'bond', 'issue', 'will', 'go', 'to', 'the', 'state', 'courts', 'for', 'a', 'friendly', 'test', 'suit', 'to', 'test', 'the', 'validity', 'of', 'the', 'act', ',', 'and', 'then', 'the', 'sales', 'will', 'begin', 'and', 'contracts', 'let', 'for', 'repair', 'work', 'on', 'some', 'of', ""Georgia's"", 'most', 'heavily', 'traveled', 'highways', '.']",14,2,2
64,news,"['A', 'Highway', 'Department', 'source', 'said', 'there', 'also', 'is', 'a', 'plan', 'there', 'to', 'issue', 'some', '$3', 'million', 'to', '$4', 'million', 'worth', 'of', 'Rural', 'Roads', 'Authority', 'bonds', 'for', 'rural', 'road', 'construction', 'work', '.']",12,1,2
65,news,"['A', 'revolving', 'fund']",2,0,0
66,news,"['The', 'department', 'apparently', 'intends', 'to', 'make', 'the', 'Rural', 'Roads', 'Authority', 'a', 'revolving', 'fund', 'under', 'which', 'new', 'bonds', 'would', 'be', 'issued', 'every', 'time', 'a', 'portion', 'of', 'the', 'old', 'ones', 'are', 'paid', 'off', 'by', 'tax', 'authorities', '.']",11,2,1
67,news,"['Vandiver', 'opened', 'his', 'race', 'for', 'governor', 'in', '1958', 'with', 'a', 'battle', 'in', 'the', 'Legislature', 'against', 'the', 'issuance', 'of', '$50', 'million', 'worth', 'of', 'additional', 'rural', 'roads', 'bonds', 'proposed', 'by', 'then', 'Gov.', 'Marvin', 'Griffin', '.']",12,2,2
68,news,"['The', 'Highway', 'Department', 'source', 'told', 'The', 'Constitution', ',', 'however', ',', 'that', 'Vandiver', 'has', 'not', 'been', 'consulted', 'yet', 'about', 'the', 'plans', 'to', 'issue', 'the', 'new', 'rural', 'roads', 'bonds', '.']",8,2,3
69,news,"['Schley', 'County', 'Rep.', 'B.', 'D.', 'Pelham', 'will', 'offer', 'a', 'resolution', 'Monday', 'in', 'the', 'House', 'to', 'rescind', 'the', ""body's"", 'action', 'of', 'Friday', 'in', 'voting', 'itself', 'a', '$10', 'per', 'day', 'increase', 'in', 'expense', 'allowances', '.']",14,3,0
70,news,"['Pelham', 'said', 'Sunday', 'night', 'there', 'was', 'research', 'being', 'done', 'on', 'whether', 'the', '``', 'quickie', ""''"", 'vote', 'on', 'the', 'increase', 'can', 'be', 'repealed', 'outright', 'or', 'whether', 'notice', 'would', 'have', 'to', 'first', 'be', 'given', 'that', 'reconsideration', 'of', 'the', 'action', 'would', 'be', 'sought', '.']",10,1,2
71,news,"['While', 'emphasizing', 'that', 'technical', 'details', 'were', 'not', 'fully', 'worked', 'out', ',', 'Pelham', 'said', 'his', 'resolution', 'would', 'seek', 'to', 'set', 'aside', 'the', 'privilege', 'resolution', 'which', 'the', 'House', 'voted', 'through', '87-31', '.']",6,2,2
72,news,"['A', 'similar', 'resolution', 'passed', 'in', 'the', 'Senate', 'by', 'a', 'vote', 'of', '29-5', '.']",3,2,0
73,news,"['As', 'of', 'Sunday', 'night', ',', 'there', 'was', 'no', 'word', 'of', 'a', 'resolution', 'being', 'offered', 'there', 'to', 'rescind', 'the', 'action', '.']",5,0,1
74,news,"['Pelham', 'pointed', 'out', 'that', 'Georgia', 'voters', 'last', 'November', 'rejected', 'a', 'constitutional', 'amendment', 'to', 'allow', 'legislators', 'to', 'vote', 'on', 'pay', 'raises', 'for', 'future', 'Legislature', 'sessions', '.']",10,3,0
75,news,"['A', 'veteran', 'Jackson', 'County', 'legislator', 'will', 'ask', 'the', 'Georgia', 'House', 'Monday', 'to', 'back', 'federal', 'aid', 'to', 'education', ',', 'something', 'it', 'has', 'consistently', 'opposed', 'in', 'the', 'past', '.']",10,2,1
76,news,"['Rep.', 'Mac', 'Barber', 'of', 'Commerce', 'is', 'asking', 'the', 'House', 'in', 'a', 'privilege', 'resolution', 'to', '``', 'endorse', 'increased', 'federal', 'support', 'for', 'public', 'education', ',', 'provided', 'that', 'such', 'funds', 'be', 'received', 'and', 'expended', ""''"", 'as', 'state', 'funds', '.']",12,4,0
77,news,"['Barber', ',', 'who', 'is', 'in', 'his', '13th', 'year', 'as', 'a', 'legislator', ',', 'said', 'there', '``', 'are', 'some', 'members', 'of', 'our', 'congressional', 'delegation', 'in', 'Washington', 'who', 'would', 'like', 'to', 'see', 'it', '(', 'the', 'resolution', ')', 'passed', ""''"", '.']",7,1,0
78,news,"['But', 'he', 'added', 'that', 'none', 'of', ""Georgia's"", 'congressmen', 'specifically', 'asked', 'him', 'to', 'offer', 'the', 'resolution', '.']",4,0,1
79,news,"['The', 'resolution', ',', 'which', 'Barber', 'tossed', 'into', 'the', 'House', 'hopper', 'Friday', ',', 'will', 'be', 'formally', 'read', 'Monday', '.']",6,1,1
80,news,"['It', 'says', 'that', '``', 'in', 'the', 'event', 'Congress', 'does', 'provide', 'this', 'increase', 'in', 'federal', 'funds', ""''"", ',', 'the', 'State', 'Board', 'of', 'Education', 'should', 'be', 'directed', 'to', '``', 'give', 'priority', ""''"", 'to', 'teacher', 'pay', 'raises', '.']",10,1,0
81,news,['Colquitt'],1,0,0
82,news,"['--', 'After', 'a', 'long', ',', 'hot', 'controversy', ',', 'Miller', 'County', 'has', 'a', 'new', 'school', 'superintendent', ',', 'elected', ',', 'as', 'a', 'policeman', 'put', 'it', ',', 'in', 'the', '``', 'coolest', 'election', 'I', 'ever', 'saw', 'in', 'this', 'county', ""''"", '.']",8,4,1
83,news,"['The', 'new', 'school', 'superintendent', 'is', 'Harry', 'Davis', ',', 'a', 'veteran', 'agriculture', 'teacher', ',', 'who', 'defeated', 'Felix', 'Bush', ',', 'a', 'school', 'principal', 'and', 'chairman', 'of', 'the', 'Miller', 'County', 'Democratic', 'Executive', 'Committee', '.']",16,2,0
84,news,"['Davis', 'received', '1,119', 'votes', 'in', ""Saturday's"", 'election', ',', 'and', 'Bush', 'got', '402', '.']",5,0,0
85,news,"['Ordinary', 'Carey', 'Williams', ',', 'armed', 'with', 'a', 'pistol', ',', 'stood', 'by', 'at', 'the', 'polls', 'to', 'insure', 'order', '.']",5,1,0
86,news,"['``', 'This', 'was', 'the', 'coolest', ',', 'calmest', 'election', 'I', 'ever', 'saw', ""''"", ',', 'Colquitt', 'Policeman', 'Tom', 'Williams', 'said', '.']",5,2,1
87,news,"['``', 'Being', 'at', 'the', 'polls', 'was', 'just', 'like', 'being', 'at', 'church', '.']",3,0,1
88,news,"['I', ""didn't"", 'smell', 'a', 'drop', 'of', 'liquor', ',', 'and', 'we', ""didn't"", 'have', 'a', 'bit', 'of', 'trouble', ""''"", '.']",4,0,0
89,news,"['The', 'campaign', 'leading', 'to', 'the', 'election', 'was', 'not', 'so', 'quiet', ',', 'however', '.']",2,1,3
90,news,"['It', 'was', 'marked', 'by', 'controversy', ',', 'anonymous', 'midnight', 'phone', 'calls', 'and', 'veiled', 'threats', 'of', 'violence', '.']",6,1,0
91,news,"['The', 'former', 'county', 'school', 'superintendent', ',', 'George', 'P.', 'Callan', ',', 'shot', 'himself', 'to', 'death', 'March', '18', ',', 'four', 'days', 'after', 'he', 'resigned', 'his', 'post', 'in', 'a', 'dispute', 'with', 'the', 'county', 'school', 'board', '.']",14,1,0
92,news,"['During', 'the', 'election', 'campaign', ',', 'both', 'candidates', ',', 'Davis', 'and', 'Bush', ',', 'reportedly', 'received', 'anonymous', 'telephone', 'calls', '.']",7,1,1
93,news,"['Ordinary', 'Williams', 'said', 'he', ',', 'too', ',', 'was', 'subjected', 'to', 'anonymous', 'calls', 'soon', 'after', 'he', 'scheduled', 'the', 'election', '.']",3,2,2
94,news,"['Many', 'local', 'citizens', 'feared', 'that', 'there', 'would', 'be', 'irregularities', 'at', 'the', 'polls', ',', 'and', 'Williams', 'got', 'himself', 'a', 'permit', 'to', 'carry', 'a', 'gun', 'and', 'promised', 'an', 'orderly', 'election', '.']",7,3,0
95,news,"['Sheriff', 'Felix', 'Tabb', 'said', 'the', 'ordinary', 'apparently', 'made', 'good', 'his', 'promise', '.']",4,2,1
96,news,"['``', 'Everything', 'went', 'real', 'smooth', ""''"", ',', 'the', 'sheriff', 'said', '.']",3,1,0
97,news,"['``', 'There', ""wasn't"", 'a', 'bit', 'of', 'trouble', ""''"", '.']",2,0,0
98,news,"['Austin', ',', 'Texas']",2,0,0
99,news,"['--', 'Committee', 'approval', 'of', 'Gov.', 'Price', ""Daniel's"", '``', 'abandoned', 'property', ""''"", 'act', 'seemed', 'certain', 'Thursday', 'despite', 'the', 'adamant', 'protests', 'of', 'Texas', 'bankers', '.']",11,2,0
100,news,"['Daniel', 'personally', 'led', 'the', 'fight', 'for', 'the', 'measure', ',', 'which', 'he', 'had', 'watered', 'down', 'considerably', 'since', 'its', 'rejection', 'by', 'two', 'previous', 'Legislatures', ',', 'in', 'a', 'public', 'hearing', 'before', 'the', 'House', 'Committee', 'on', 'Revenue', 'and', 'Taxation', '.']",10,2,2
101,news,"['Under', 'committee', 'rules', ',', 'it', 'went', 'automatically', 'to', 'a', 'subcommittee', 'for', 'one', 'week', '.']",4,0,1
102,news,"['But', 'questions', 'with', 'which', 'committee', 'members', 'taunted', 'bankers', 'appearing', 'as', 'witnesses', 'left', 'little', 'doubt', 'that', 'they', 'will', 'recommend', 'passage', 'of', 'it', '.']",7,1,0
103,news,"['Daniel', 'termed', '``', 'extremely', 'conservative', ""''"", 'his', 'estimate', 'that', 'it', 'would', 'produce', '17', 'million', 'dollars', 'to', 'help', 'erase', 'an', 'anticipated', 'deficit', 'of', '63', 'million', 'dollars', 'at', 'the', 'end', 'of', 'the', 'current', 'fiscal', 'year', 'next', 'Aug.', '31', '.']",8,4,1
104,news,"['He', 'told', 'the', 'committee', 'the', 'measure', 'would', 'merely', 'provide', 'means', 'of', 'enforcing', 'the', 'escheat', 'law', 'which', 'has', 'been', 'on', 'the', 'books', '``', 'since', 'Texas', 'was', 'a', 'republic', ""''"", '.']",7,1,1
105,news,"['It', 'permits', 'the', 'state', 'to', 'take', 'over', 'bank', 'accounts', ',', 'stocks', 'and', 'other', 'personal', 'property', 'of', 'persons', 'missing', 'for', 'seven', 'years', 'or', 'more', '.']",7,3,0
106,news,"['The', 'bill', ',', 'which', 'Daniel', 'said', 'he', 'drafted', 'personally', ',', 'would', 'force', 'banks', ',', 'insurance', 'firms', ',', 'pipeline', 'companies', 'and', 'other', 'corporations', 'to', 'report', 'such', 'property', 'to', 'the', 'state', 'treasurer', '.']",11,2,1
107,news,"['The', 'escheat', 'law', 'cannot', 'be', 'enforced', 'now', 'because', 'it', 'is', 'almost', 'impossible', 'to', 'locate', 'such', 'property', ',', 'Daniel', 'declared', '.']",5,2,2
108,news,"['Dewey', 'Lawrence', ',', 'a', 'Tyler', 'lawyer', 'representing', 'the', 'Texas', 'Bankers', 'Association', ',', 'sounded', 'the', 'opposition', 'keynote', 'when', 'he', 'said', 'it', 'would', 'force', 'banks', 'to', 'violate', 'their', 'contractual', 'obligations', 'with', 'depositors', 'and', 'undermine', 'the', 'confidence', 'of', 'bank', 'customers', '.']",15,1,0
109,news,"['``', 'If', 'you', 'destroy', 'confidence', 'in', 'banks', ',', 'you', 'do', 'something', 'to', 'the', 'economy', ""''"", ',', 'he', 'said', '.']",4,0,0
110,news,"['``', 'You', 'take', 'out', 'of', 'circulation', 'many', 'millions', 'of', 'dollars', ""''"", '.']",3,1,0
111,news,"['Rep.', 'Charles', 'E.', 'Hughes', 'of', 'Sherman', ',', 'sponsor', 'of', 'the', 'bill', ',', 'said', 'a', 'failure', 'to', 'enact', 'it', 'would', 'amount', '``', 'to', 'making', 'a', 'gift', 'out', 'of', 'the', ""taxpayers'"", 'pockets', 'to', 'banks', ',', 'insurance', 'and', 'pipeline', 'companies', ""''"", '.']",14,1,0
112,news,"['His', 'contention', 'was', 'denied', 'by', 'several', 'bankers', ',', 'including', 'Scott', 'Hudson', 'of', 'Sherman', ',', 'Gaynor', 'B.', 'Jones', 'of', 'Houston', ',', 'J.', 'B.', 'Brady', 'of', 'Harlingen', 'and', 'Howard', 'Cox', 'of', 'Austin', '.']",16,1,0
113,news,"['Cox', 'argued', 'that', 'the', 'bill', 'is', '``', 'probably', 'unconstitutional', ""''"", 'since', ',', 'he', 'said', ',', 'it', 'would', 'impair', 'contracts', '.']",3,1,1
114,news,"['He', 'also', 'complained', 'that', 'not', 'enough', 'notice', 'was', 'given', 'on', 'the', 'hearing', ',', 'since', 'the', 'bill', 'was', 'introduced', 'only', 'last', 'Monday', '.']",4,2,3
115,news,"['Austin', ',', 'Texas']",2,0,0
116,news,"['--', 'Senators', 'unanimously', 'approved', 'Thursday', 'the', 'bill', 'of', 'Sen.', 'George', 'Parkhouse', 'of', 'Dallas', 'authorizing', 'establishment', 'of', 'day', 'schools', 'for', 'the', 'deaf', 'in', 'Dallas', 'and', 'the', 'four', 'other', 'largest', 'counties', '.']",13,2,1
117,news,"['The', 'bill', 'is', 'designed', 'to', 'provide', 'special', 'schooling', 'for', 'more', 'deaf', 'students', 'in', 'the', 'scholastic', 'age', 'at', 'a', 'reduced', 'cost', 'to', 'the', 'state', '.']",5,5,0
118,news,"['There', 'was', 'no', 'debate', 'as', 'the', 'Senate', 'passed', 'the', 'bill', 'on', 'to', 'the', 'House', '.']",4,0,0
